"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.france24.com/es/europa/20211208-alemania-olaf-scholtz-nuevo-canciller","text/html; charset=UTF-8","200","OK","Indexable","","El socialdemócrata Olaf Scholz asume como nuevo canciller de Alemania","69","651","","","","","","El socialdemócrata Olaf Scholz asume como nuevo canciller de Alemania","69","","","","","","https://www.france24.com/es/europa/20211208-alemania-olaf-scholtz-nuevo-canciller","","","","","","","","","1","","15","8","0","8.160","66","49","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/europa/20211208-alemania-olaf-scholtz-nuevo-canciller","2021-12-09 06:15:46"
"https://www.france24.com/es/europa/20211208-covid19-omicron-vacunas-tercera-dosis","text/html; charset=UTF-8","200","OK","Indexable","","Estudio de Pfizer/BioNTech indica que tercera dosis de la vacuna neutraliza la variante Ómicron","95","851","","","","","","Estudio de Pfizer/BioNTech indica que tercera dosis de la vacuna neutraliza la variante Ómicron","95","","","","","","https://www.france24.com/es/europa/20211208-covid19-omicron-vacunas-tercera-dosis","","","","","","","","","1","","16","9","0","9.180","67","49","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/europa/20211208-covid19-omicron-vacunas-tercera-dosis","2021-12-09 06:15:46"
"https://www.france24.com/es/programas/historia/20211207-historia-ataque-pearl-harbor-japon-eeuu","text/html; charset=UTF-8","200","OK","Indexable","","Se cumplen 80 años del ataque japonés a la base naval de Pearl Harbor - Historia","80","729","","","","","","Se cumplen 80 años del ataque japonés a la base naval de Pearl Harbor","69","","","","","","https://www.france24.com/es/programas/historia/20211207-historia-ataque-pearl-harbor-japon-eeuu","","","","","","","","","1","","10","3","0","3.060","63","42","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/programas/historia/20211207-historia-ataque-pearl-harbor-japon-eeuu","2021-12-09 06:15:45"
"https://www.france24.com/es/como-recibir-la-cadena","text/html; charset=UTF-8","200","OK","Indexable","","Cómo recibir la cadena - France 24","34","314","","","","","","Cómo recibir la cadena","22","","","","","","https://www.france24.com/es/como-recibir-la-cadena","","","","","","","","","1","","101","92","0","93.880","43","29","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/como-recibir-la-cadena","2021-12-09 06:15:46"
"https://www.france24.com/es/eeuu-canadá/","text/html; charset=UTF-8","200","OK","Indexable","","Todas las noticias de EE.UU. y Canadá - France 24","49","459","","","","","","EE.UU. y Canadá","15","","","","","","https://www.france24.com/es/eeuu-canadá/","","","","","","","","","1","","189","92","0","93.880","68","53","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/eeuu-canad%C3%A1/","2021-12-09 06:15:46"
"https://www.france24.com/es/programas/salud/20211208-malnutricion-dieta-desigualdades-consecuencias-salud","text/html; charset=UTF-8","200","OK","Indexable","","Comer poco o comer mal: la malnutrición afecta a un tercio de la población mundial - Salud","90","810","","","","","","Comer poco o comer mal: la malnutrición afecta a un tercio de la población mundial","82","","","","","","https://www.france24.com/es/programas/salud/20211208-malnutricion-dieta-desigualdades-consecuencias-salud","","","","","","","","","1","","8","2","0","2.040","60","40","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/programas/salud/20211208-malnutricion-dieta-desigualdades-consecuencias-salud","2021-12-09 06:15:45"
"https://www.france24.com/es/américa-latina/20211119-el-salado-masacre-lider-social-violacion","text/html; charset=UTF-8","200","OK","Indexable","","Yirley Velasco: sobreviviente y líder social amenazada pese a la paz en Colombia (1/6)","86","771","","","","","","Yirley Velasco: sobreviviente y líder social amenazada pese a la paz en Colombia (1/6)","86","","","","","","https://www.france24.com/es/américa-latina/20211119-el-salado-masacre-lider-social-violacion","","","","","","","","","1","","14","8","0","8.160","63","47","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/am%C3%A9rica-latina/20211119-el-salado-masacre-lider-social-violacion","2021-12-09 06:15:46"
"https://www.france24.com/es/programas","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","","","","","","0","","","","","","","","","","","","","","","1","","96","92","0","93.880","0","0","0","","","","","","","","","","","https://www.france24.com/es/programas/","HTTP Redirect","","1.1","https://www.france24.com/es/programas","2021-12-09 06:15:46"
"https://www.france24.com/es/programas/en-foco/20211208-covid19-rusia-pandemia-vacunas-sputnikv","text/html; charset=UTF-8","200","OK","Indexable","","Covid-19 en Rusia, un desastre sanitario impulsado por la falta de confianza en las autoridades - En Foco","105","938","","","","","","Covid-19 en Rusia, un desastre sanitario impulsado por la falta de confianza en las autoridades","95","","","","","","https://www.france24.com/es/programas/en-foco/20211208-covid19-rusia-pandemia-vacunas-sputnikv","","","","","","","","","1","","12","4","0","4.080","64","42","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/programas/en-foco/20211208-covid19-rusia-pandemia-vacunas-sputnikv","2021-12-09 06:15:46"
"https://www.france24.com/es/tag/colombia/","text/html; charset=UTF-8","200","OK","Indexable","","Colombia: actualidad, videos, informes y análisis - France 24","61","539","","","","","","Colombia","8","","","","","","https://www.france24.com/es/tag/colombia/","","","","","","","","","2","","12","8","0","8.160","86","63","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/tag/colombia/","2021-12-09 06:15:47"
