"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"http://www.the99project.net/2021/04/09/99-ambitieuses-2/","text/html; charset=UTF-8","200","OK","Indexable","","99 ambitieuses – Récit collectif – THE 99 PROJECT","49","460","","","","","","99 ambitieuses – Récit collectif","32","Post navigation","15","","","","","","http://www.the99project.net/2021/04/09/99-ambitieuses-2/","","","","","","","","","3","","6","3","0","3.800","20","7","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/2021/04/09/99-ambitieuses-2/","2021-12-11 10:23:48"
"http://www.the99project.net/tag/podcast/","text/html; charset=UTF-8","200","OK","Indexable","","Podcast – THE 99 PROJECT","24","259","","","","","","","0","","0","","","","","","","","","","","","","","","3","","5","4","0","5.060","32","11","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/tag/podcast/","2021-12-11 10:23:49"
"http://www.the99project.net/portfolio/99parfums/","text/html; charset=UTF-8","200","OK","Indexable","","99 Parfums Grasse 2019 – THE 99 PROJECT","39","411","","","","","","Portfolio navigation","20","","0","","","","","","http://www.the99project.net/portfolio/99parfums/","","","","","","","","","3","","9","6","0","7.590","16","5","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/portfolio/99parfums/","2021-12-11 10:23:49"
"http://www.the99project.net/tag/heritage-culturel/","text/html; charset=UTF-8","200","OK","Indexable","","Héritage culturel – THE 99 PROJECT","34","332","","","","","","","0","","0","","","","","","","","","","","","","","","3","","4","3","0","3.800","28","9","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/tag/heritage-culturel/","2021-12-11 10:23:50"
"http://www.the99project.net/2020/07/25/interview-de-sr-nathalie/","text/html; charset=UTF-8","200","OK","Indexable","","Collaborative writing – Ecrire en collaboration – THE 99 PROJECT","64","585","","","","","","Collaborative writing – Ecrire en collaboration","47","Post navigation","15","","","","","","http://www.the99project.net/2020/07/25/interview-de-sr-nathalie/","","","","","","","","","3","","14","5","0","6.330","27","13","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/2020/07/25/interview-de-sr-nathalie/","2021-12-11 10:23:49"
"http://www.the99project.net/2021/11/04/99-news-sept-oct-2021","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","1","1","0","1.270","0","0","0","","","","","","","","","","","http://www.the99project.net/2021/11/04/99-news-sept-oct-2021/","HTTP Redirect","","1.1","http://www.the99project.net/2021/11/04/99-news-sept-oct-2021","2021-12-11 10:23:50"
"http://www.the99project.net/tag/festival/","text/html; charset=UTF-8","200","OK","Indexable","","Festival – THE 99 PROJECT","25","255","","","","","","","0","","0","","","","","","","","","","","","","","","3","","3","2","0","2.530","24","9","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/tag/festival/","2021-12-11 10:23:50"
"http://www.the99project.net/2020/09/25/99-parfums-lecture-aux-dits-du-lundi/","text/html; charset=UTF-8","200","OK","Indexable","","99 PARFUMS, lecture aux Dits du Lundi – THE 99 PROJECT","54","543","","","","","","99 PARFUMS, lecture aux Dits du Lundi","37","Post navigation","15","","","","","","http://www.the99project.net/2020/09/25/99-parfums-lecture-aux-dits-du-lundi/","","","","","","","","","3","","8","3","0","3.800","36","22","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/2020/09/25/99-parfums-lecture-aux-dits-du-lundi/","2021-12-11 10:23:51"
"http://www.the99project.net/tag/developpement/","text/html; charset=UTF-8","200","OK","Indexable","","Développement – THE 99 PROJECT","30","326","","","","","","","0","","0","","","","","","","","","","","","","","","3","","3","2","0","2.530","24","10","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/tag/developpement/","2021-12-11 10:23:51"
"http://www.the99project.net/tag/habit-et-humanisme/","text/html; charset=UTF-8","200","OK","Indexable","","Habit et Humanisme – THE 99 PROJECT","35","368","","","","","","","0","","0","","","","","","","","","","","","","","","3","","3","2","0","2.530","24","9","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/tag/habit-et-humanisme/","2021-12-11 10:23:51"
